relative_volume_band,signal_time,entry_time,exit_time,drop_return,entry_mid,entry_executed,exit_mid,exit_executed,quantity,exit_reason,broker_profile,gross_pnl,spread_cost,slippage_cost,broker_commission,sec_fee,finra_taf,cat_fee,regulatory_fees,total_broker_fees,commission_cost,net_pnl,relative_volume_30
low,2026-05-12 12:19:00-04:00,2026-05-12 12:20:00-04:00,2026-05-12 12:24:00-04:00,-0.0033958973888302824,217.19,217.23344017189999,216.90759001164216,216.86421066271572,4,stop_loss,alpaca_personal_api,-1.129639953431365,0.17363903600460162,0.17363904730109425,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.506918036737061,0.6720442545039834
low,2026-05-12 15:24:00-04:00,2026-05-12 15:25:00-04:00,2026-05-12 15:29:00-04:00,-0.0024459845087648757,220.23,220.27404820229998,220.47,220.42590820470002,4,max_holding,alpaca_personal_api,0.9600000000000364,0.17627999999990607,0.17627999039996212,0.0,0.02,0.01,0.0,0.03,0.03,0.0,0.5774400096001682,0.7070597313428135
low,2026-05-13 09:42:00-04:00,2026-05-13 09:43:00-04:00,2026-05-13 09:43:00-04:00,-0.0037630600318753205,225.04,225.0850102504,224.7473827350244,224.7024355059512,4,stop_loss,alpaca_personal_api,-1.1704690599024161,0.17991495309399852,0.17991496479874058,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5602989777951553,0.686402880664092
low,2026-05-13 09:44:00-04:00,2026-05-13 09:45:00-04:00,2026-05-13 09:45:00-04:00,-0.005541762723887178,224.32,224.3648662432,224.02831894383522,223.98351552032966,4,stop_loss,alpaca_personal_api,-1.1667242246591059,0.1793393275775088,0.17933933924473422,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.555402891481349,0.5710278253336358
low,2026-05-13 10:02:00-04:00,2026-05-13 10:03:00-04:00,2026-05-13 10:04:00-04:00,-0.0030815952838193494,223.22,223.2646462322,222.92974926285171,222.88516554229665,4,stop_loss,alpaca_personal_api,-1.1610029485931364,0.17845989970510345,0.17845991131514438,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5479227596133842,0.3462974282358025
low,2026-05-13 10:33:00-04:00,2026-05-13 10:34:00-04:00,2026-05-13 10:34:00-04:00,-0.00369858740697826,223.59,223.6347202359,224.08198967637182,224.03717551925644,4,take_profit,alpaca_personal_api,1.9679587054872627,0.1790687958705348,0.17906877619100214,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.5798211334257257,0.7441807011818788
low,2026-05-13 11:15:00-04:00,2026-05-13 11:16:00-04:00,2026-05-13 11:20:00-04:00,-0.0023781212841854638,226.53,226.57530826529998,226.51,226.4647002651,4,max_holding,alpaca_personal_api,-0.08000000000004093,0.18121599999994942,0.1812160007999637,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-0.47243200079995407,0.7446403968937046
low,2026-05-13 11:22:00-04:00,2026-05-13 11:23:00-04:00,2026-05-13 11:23:00-04:00,-0.0022929711614780857,226.27,226.31525626270002,225.97578337830598,225.93059048138815,4,stop_loss,alpaca_personal_api,-1.1768664867761345,0.18089831335134932,0.18089832511998338,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5686631252474672,0.7376299028392908
low,2026-05-13 11:25:00-04:00,2026-05-13 11:26:00-04:00,2026-05-13 11:29:00-04:00,-0.004105778994304754,225.59,225.6351202559,226.0863904964118,226.04117547917642,4,take_profit,alpaca_personal_api,1.985561985647223,0.1806705561986064,0.1806705363429728,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.5942208931056439,0.7435952157148612
low,2026-05-13 12:43:00-04:00,2026-05-13 12:44:00-04:00,2026-05-13 12:46:00-04:00,-0.0022871217452499204,226.84,226.8853702684,226.54504221299743,226.49973547000525,4,stop_loss,alpaca_personal_api,-1.1798311480102939,0.18135401688516595,0.18135402868358597,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5725391935790458,0.6482644988551144
low,2026-05-13 15:01:00-04:00,2026-05-13 15:02:00-04:00,2026-05-13 15:06:00-04:00,-0.002159922419113114,226.35,226.3952722635,226.05567935510476,226.01047047979054,4,stop_loss,alpaca_personal_api,-1.1772825795809467,0.1809622717420325,0.18096228351487298,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5692071348378522,0.7411347000670729
low,2026-05-14 09:40:00-04:00,2026-05-14 09:41:00-04:00,2026-05-14 09:41:00-04:00,-0.0027669693039343857,230.64,230.6861303064,231.1475025670128,231.10127537797442,4,take_profit,alpaca_personal_api,2.030010268051228,0.18471500102680238,0.18471498072676695,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.6305802862976588,0.6976227386441542
low,2026-05-14 09:49:00-04:00,2026-05-14 09:50:00-04:00,2026-05-14 09:50:00-04:00,-0.0025857610756765403,231.46,231.5062943146,231.15903487312812,231.11280537774385,4,stop_loss,alpaca_personal_api,-1.2038605074875477,0.18504761394922298,0.18504762598786328,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.603955747424634,0.6066349285704888
low,2026-05-14 09:51:00-04:00,2026-05-14 09:52:00-04:00,2026-05-14 09:52:00-04:00,-0.004947087670997163,231.29,231.3362603129,230.98925592243066,230.94306038113874,4,stop_loss,alpaca_personal_api,-1.2029763102773359,0.18491170236904964,0.18491171439870868,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.6027997270450942,0.5811907854619174
low,2026-05-14 10:07:00-04:00,2026-05-14 10:08:00-04:00,2026-05-14 10:08:00-04:00,-0.002588885053503631,231.18,231.22623831180002,230.87939895433232,230.83322538333545,4,stop_loss,alpaca_personal_api,-1.2024041826707617,0.18482375958171815,0.18482377160580654,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.6020517138582864,0.5266325674541961
low,2026-05-14 10:09:00-04:00,2026-05-14 10:10:00-04:00,2026-05-14 10:11:00-04:00,-0.004446363047701296,230.62,230.6661263062,231.1274585588124,231.08123537837523,4,take_profit,alpaca_personal_api,2.0298342352496093,0.18469898342357283,0.184698963125129,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.6304362887009074,0.7172939434607049
low,2026-05-14 11:06:00-04:00,2026-05-14 11:07:00-04:00,2026-05-14 11:10:00-04:00,-0.00323679727427606,234.04,234.08681034039998,234.55498396108078,234.5080753098384,4,take_profit,alpaca_personal_api,2.0599358443231495,0.18743799358446722,0.18743797298498066,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.6550598777537016,0.6864499050381836
low,2026-05-15 09:41:00-04:00,2026-05-15 09:42:00-04:00,2026-05-15 09:42:00-04:00,-0.004183547648405894,226.15,226.1952322615,225.85593941310776,225.81077048378455,4,stop_loss,alpaca_personal_api,-1.176242347568973,0.18080237576521085,0.18080238752759215,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.567847110861776,0.7133871733630682
low,2026-05-15 09:58:00-04:00,2026-05-15 09:59:00-04:00,2026-05-15 09:59:00-04:00,-0.004198709449306004,225.3,225.345062253,225.00704465962053,224.96204550075907,4,stop_loss,alpaca_personal_api,-1.1718213615179138,0.1801228178637757,0.1801228295820465,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.562067008963736,0.5279486252294956
low,2026-05-15 10:01:00-04:00,2026-05-15 10:02:00-04:00,2026-05-15 10:03:00-04:00,-0.005864197530864201,225.49,225.53510025490002,225.19679760451768,225.15176049696476,4,stop_loss,alpaca_personal_api,-1.1728095819293003,0.18027471904179038,0.18027473076995193,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5633590317410426,0.6970789965999228
low,2026-05-15 10:26:00-04:00,2026-05-15 10:27:00-04:00,2026-05-15 10:27:00-04:00,-0.0023683171790710444,227.44,227.48549027439998,227.1442620389884,227.09883545802322,4,stop_loss,alpaca_personal_api,-1.1829518440464426,0.1818337048155172,0.1818337166450874,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5766192655070472,0.7275791782717486
low,2026-05-15 10:31:00-04:00,2026-05-15 10:32:00-04:00,2026-05-15 10:32:00-04:00,-0.0032531762430211275,226.74,226.7853502674,226.4451722419989,226.39988547200224,4,stop_loss,alpaca_personal_api,-1.1793110320044207,0.18127406889675513,0.18127408068983186,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5718591815910077,0.7278198023037501
low,2026-05-15 10:46:00-04:00,2026-05-15 10:47:00-04:00,2026-05-15 10:49:00-04:00,-0.0029464796165178386,226.74,226.7853502674,226.4451722419989,226.39988547200224,4,stop_loss,alpaca_personal_api,-1.1793110320044207,0.18127406889675513,0.18127408068983186,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5718591815910077,0.7302651556886066
